timestamp,ticker,decision,confidence,reasoning,news_score,technical_score,combined_score,article_count,news_direction,news_confidence,news_reasoning,news_source,technical_direction,technical_strength,technical_reasoning,analysis_method,sources_used,analysis_timestamp,recommendation_price,recommendation_timestamp,price_checkpoint1,price_checkpoint1_timestamp,price_checkpoint1_change_pct,price_checkpoint2,price_checkpoint2_timestamp,price_checkpoint2_change_pct,price_close,price_close_timestamp,price_close_change_pct,tracking_status
2025-06-05T16:02:56.015314,HRNNF,LONG,0.6855,"News: BUY (0.76 confidence) | Sources: 3 services | Top contributors: finbert(0.36), gemini(0.00), enhanced_keyword_analysis(0.00) | News reasoning: Multi-source analysis (3 sources): finbert: BUY(0.87); gemini: NEUTRAL(0.20); enhanced_keyword_analy | Technical: BUY (0.30 strength) | Technical reaso",0.7617,0.3,0.6232,1,BUY,0.7617,Multi-source analysis (3 sources): finbert: BUY(0.87); gemini: NEUTRAL(0.20); enhanced_keyword_analysis: NEUTRAL(0.40),multi_source,BUY,0.3,MA trend: BUY; RSI: 65.6; MACD: bullish; BB position: 0.60,standard_analysis,"finbert,gemini,enhanced_keyword_analysis",2025-06-05T16:02:56.015314,,2025-06-05T16:02:56.015314,,,,,,,,,,pending
2025-06-05T19:36:09.608729,MILE,LONG,0.8219,"News: BUY (0.84 confidence) | Sources: 3 services | Top contributors: finbert(0.39), enhanced_keyword_analysis(0.03), gemini(0.00) | News reasoning: Multi-source analysis (3 sources): finbert: BUY(0.94); gemini: NEUTRAL(0.30); enhanced_keyword_analy | Technical: BUY (0.54 strength) | Technical reaso",0.836,0.54,0.7472,1,BUY,0.836,Multi-source analysis (3 sources): finbert: BUY(0.94); gemini: NEUTRAL(0.30); enhanced_keyword_analysis: BUY(0.80),multi_source,BUY,0.54,MA trend: BUY; RSI: 49.0; MACD: bullish; BB position: 0.84,standard_analysis,"finbert,gemini,enhanced_keyword_analysis",2025-06-05T19:36:09.608729,,2025-06-05T19:36:09.608729,,,,,,,,,,pending
2025-06-05T19:36:09.588010,LITRF,LONG,0.7599,"News: BUY (0.99 confidence) | Sources: 3 services | Top contributors: finbert(0.30), gemini(0.23), enhanced_keyword_analysis(0.00) | News reasoning: Multi-source analysis (3 sources): finbert: BUY(0.73); gemini: BUY(0.70); enhanced_keyword_analysis: | Combined score: 0.69",0.9869,0,0.6908,1,BUY,0.9869,Multi-source analysis (3 sources): finbert: BUY(0.73); gemini: BUY(0.70); enhanced_keyword_analysis: NEUTRAL(0.30),multi_source,,,,standard_analysis,"finbert,gemini,enhanced_keyword_analysis",2025-06-05T19:36:09.588010,,2025-06-05T19:36:09.588010,,,,,,,,,,pending
2025-06-06T07:40:06.315628,PL,LONG,0.8822,"News: BUY (1.00 confidence) | Sources: 5 services | Top contributors: finbert(0.39), gemini(0.23), alpha_vantage(0.09) | News reasoning: Multi-source analysis (5 sources): finbert: BUY(0.96); gemini: BUY(0.70); alpha_vantage: BUY(0.66);  | Technical: BUY (0.34 strength) | Technical reasoning: MA tre",1,0.34,0.802,1,BUY,1,Multi-source analysis (5 sources): finbert: BUY(0.96); gemini: BUY(0.70); alpha_vantage: BUY(0.66); polygon: NEUTRAL(0.40); enhanced_keyword_analysis: BUY(0.80),multi_source,BUY,0.34,MA trend: BUY; RSI: 84.2; MACD: bullish; BB position: 1.53,standard_analysis,"finbert,gemini,alpha_vantage,polygon,enhanced_keyword_analysis",2025-06-06T07:40:06.315628,,2025-06-06T07:40:06.315628,,,,,,,,,,pending
2025-06-06T07:40:06.319795,JUNE,LONG,0.8595,"News: BUY (0.98 confidence) | Sources: 5 services | Top contributors: finbert(0.36), gemini(0.23), alpha_vantage(0.09) | News reasoning: Multi-source analysis (5 sources): finbert: BUY(0.87); gemini: BUY(0.70); alpha_vantage: BUY(0.71);  | Technical: BUY (0.32 strength) | Technical reasoning: MA tre",0.9791,0.32,0.7814,1,BUY,0.9791,Multi-source analysis (5 sources): finbert: BUY(0.87); gemini: BUY(0.70); alpha_vantage: BUY(0.71); polygon: NEUTRAL(0.40); enhanced_keyword_analysis: NEUTRAL(0.30),multi_source,BUY,0.32,MA trend: BUY; RSI: 56.7; MACD: bullish; BB position: 0.85,standard_analysis,"finbert,gemini,alpha_vantage,polygon,enhanced_keyword_analysis",2025-06-06T07:40:06.319795,,2025-06-06T07:40:06.319795,,,,,,,,,,pending
2025-06-06T07:40:06.317032,BDC,SHORT,0.77,"News: SELL (1.00 confidence) | Sources: 5 services | Top contributors: finbert(-0.39), gemini(-0.26), polygon(-0.07) | News reasoning: Multi-source analysis (5 sources): finbert: SELL(0.95); gemini: SELL(0.80); alpha_vantage: NEUTRAL(0 | Technical: NEUTRAL (0.81 strength) | Technical reasoning: MA t",-1,0,-0.7,1,SELL,1,Multi-source analysis (5 sources): finbert: SELL(0.95); gemini: SELL(0.80); alpha_vantage: NEUTRAL(0.50); polygon: SELL(0.75); enhanced_keyword_analysis: SELL(0.57),multi_source,NEUTRAL,0.81,MA trend: BUY; RSI: 46.7; MACD: bearish; BB position: 0.61,standard_analysis,"finbert,gemini,alpha_vantage,polygon,enhanced_keyword_analysis",2025-06-06T07:40:06.317032,,2025-06-06T07:40:06.317032,,,,,,,,,,pending
2025-06-06T07:40:06.317392,WIZZ,SHORT,0.77,"News: SELL (1.00 confidence) | Sources: 3 services | Top contributors: finbert(-0.39), gemini(-0.23), enhanced_keyword_analysis(0.00) | News reasoning: Multi-source analysis (3 sources): finbert: SELL(0.94); gemini: SELL(0.70); enhanced_keyword_analysi | Combined score: -0.70",-1,0,-0.7,1,SELL,1,Multi-source analysis (3 sources): finbert: SELL(0.94); gemini: SELL(0.70); enhanced_keyword_analysis: NEUTRAL(0.40),multi_source,,,,standard_analysis,"finbert,gemini,enhanced_keyword_analysis",2025-06-06T07:40:06.317392,,2025-06-06T07:40:06.317392,,,,,,,,,,pending
2025-06-06T07:40:06.318420,MOS,LONG,0.77,"News: BUY (1.00 confidence) | Sources: 5 services | Top contributors: finbert(0.39), gemini(0.26), alpha_vantage(0.10) | News reasoning: Multi-source analysis (5 sources): finbert: BUY(0.94); gemini: BUY(0.80); alpha_vantage: BUY(0.80);  | Technical: NEUTRAL (0.94 strength) | Technical reasoning: MA",1,0,0.7,1,BUY,1,Multi-source analysis (5 sources): finbert: BUY(0.94); gemini: BUY(0.80); alpha_vantage: BUY(0.80); polygon: NEUTRAL(0.40); enhanced_keyword_analysis: NEUTRAL(0.30),multi_source,NEUTRAL,0.94,MA trend: BUY; RSI: 70.7; MACD: bearish; BB position: 0.72,standard_analysis,"finbert,gemini,alpha_vantage,polygon,enhanced_keyword_analysis",2025-06-06T07:40:06.318420,,2025-06-06T07:40:06.318420,,,,,,,,,,pending
2025-06-06T07:40:06.326116,BCRX,LONG,0.77,"News: BUY (1.00 confidence) | Sources: 4 services | Top contributors: finbert(0.38), gemini(0.26), polygon(0.00) | News reasoning: Multi-source analysis (4 sources): finbert: BUY(0.94); gemini: BUY(0.80); polygon: NEUTRAL(0.40); en | Technical: NEUTRAL (0.93 strength) | Technical reasoning: MA trend",1,0,0.7,1,BUY,1,Multi-source analysis (4 sources): finbert: BUY(0.94); gemini: BUY(0.80); polygon: NEUTRAL(0.40); enhanced_keyword_analysis: NEUTRAL(0.30),multi_source,NEUTRAL,0.93,MA trend: BUY; RSI: 65.1; MACD: bearish; BB position: 0.83,standard_analysis,"finbert,gemini,polygon,enhanced_keyword_analysis",2025-06-06T07:40:06.326116,,2025-06-06T07:40:06.326116,,,,,,,,,,pending
2025-06-06T07:40:06.330108,BGX,LONG,0.77,"News: BUY (1.00 confidence) | Sources: 3 services | Top contributors: finbert(0.36), gemini(0.23), enhanced_keyword_analysis(0.00) | News reasoning: Multi-source analysis (3 sources): finbert: BUY(0.87); gemini: BUY(0.70); enhanced_keyword_analysis: | Technical: NEUTRAL (1.00 strength) | Technical r",1,0,0.7,1,BUY,1,Multi-source analysis (3 sources): finbert: BUY(0.87); gemini: BUY(0.70); enhanced_keyword_analysis: NEUTRAL(0.30),multi_source,NEUTRAL,1,MA trend: NEUTRAL; RSI: 35.9; MACD: bearish; BB position: 0.49,standard_analysis,"finbert,gemini,enhanced_keyword_analysis",2025-06-06T07:40:06.330108,,2025-06-06T07:40:06.330108,,,,,,,,,,pending
